"subject","item","response","response_time","ambiguity","group","gap_filling","ambiguity_G","group_G","gap_filling_G"
"Native 15",17,1,"1003",0.5,-0.5,0.5,"Ambiguous","Native","Non_Filling_Gap"
"Native 15",8,1,"1221",0.5,-0.5,0.5,"Ambiguous","Native","Non_Filling_Gap"
"Native 15",3,0,"1432",-0.5,-0.5,0.5,"Unambiguous","Native","Non_Filling_Gap"
"Native 15",6,0,"784",-0.5,-0.5,0.5,"Unambiguous","Native","Non_Filling_Gap"
"Native 15",12,1,"696",-0.5,-0.5,0.5,"Unambiguous","Native","Non_Filling_Gap"
"Native 15",5,1,"1109",0.5,-0.5,0.5,"Ambiguous","Native","Non_Filling_Gap"
"Native 15",9,1,"1337",-0.5,-0.5,0.5,"Unambiguous","Native","Non_Filling_Gap"
"Native 15",18,0,"1001",-0.5,-0.5,0.5,"Unambiguous","Native","Non_Filling_Gap"
"Native 15",2,0,"742",0.5,-0.5,0.5,"Ambiguous","Native","Non_Filling_Gap"
"Native 15",11,1,"2017",0.5,-0.5,0.5,"Ambiguous","Native","Non_Filling_Gap"
"Native 15",14,1,"1873",0.5,-0.5,0.5,"Ambiguous","Native","Non_Filling_Gap"
"Native 16",10,0,"3746",0.5,-0.5,0.5,"Ambiguous","Native","Non_Filling_Gap"
"Native 16",16,1,"4455",0.5,-0.5,0.5,"Ambiguous","Native","Non_Filling_Gap"
"Native 16",17,0,"8432",-0.5,-0.5,0.5,"Unambiguous","Native","Non_Filling_Gap"
"Native 16",13,1,"2373",0.5,-0.5,0.5,"Ambiguous","Native","Non_Filling_Gap"
"Native 16",2,0,"3315",-0.5,-0.5,0.5,"Unambiguous","Native","Non_Filling_Gap"
"Native 16",4,1,"1194",0.5,-0.5,0.5,"Ambiguous","Native","Non_Filling_Gap"
"Native 16",7,1,"1618",0.5,-0.5,0.5,"Ambiguous","Native","Non_Filling_Gap"
"Native 16",8,1,"1848",-0.5,-0.5,0.5,"Unambiguous","Native","Non_Filling_Gap"
"Native 16",1,0,"3155",0.5,-0.5,0.5,"Ambiguous","Native","Non_Filling_Gap"
"Native 16",11,0,"6630",-0.5,-0.5,0.5,"Unambiguous","Native","Non_Filling_Gap"
"Native 16",14,1,"3533",-0.5,-0.5,0.5,"Unambiguous","Native","Non_Filling_Gap"
"Native 16",5,0,"1425",-0.5,-0.5,0.5,"Unambiguous","Native","Non_Filling_Gap"
"Native 17",15,0,"2025",0.5,-0.5,0.5,"Ambiguous","Native","Non_Filling_Gap"
"Native 17",10,1,"3698",-0.5,-0.5,0.5,"Unambiguous","Native","Non_Filling_Gap"
"Native 17",1,1,"2269",-0.5,-0.5,0.5,"Unambiguous","Native","Non_Filling_Gap"
"Native 17",16,1,"2900",-0.5,-0.5,0.5,"Unambiguous","Native","Non_Filling_Gap"
"Native 17",4,0,"3119",-0.5,-0.5,0.5,"Unambiguous","Native","Non_Filling_Gap"
"Native 17",13,1,"2163",-0.5,-0.5,0.5,"Unambiguous","Native","Non_Filling_Gap"
"Native 17",18,1,"2330",0.5,-0.5,0.5,"Ambiguous","Native","Non_Filling_Gap"
"Native 17",3,1,"1949",0.5,-0.5,0.5,"Ambiguous","Native","Non_Filling_Gap"
"Native 17",6,1,"1984",0.5,-0.5,0.5,"Ambiguous","Native","Non_Filling_Gap"
"Native 17",9,1,"1336",0.5,-0.5,0.5,"Ambiguous","Native","Non_Filling_Gap"
"Native 17",7,1,"2280",-0.5,-0.5,0.5,"Unambiguous","Native","Non_Filling_Gap"
"Native 17",12,1,"1549",0.5,-0.5,0.5,"Ambiguous","Native","Non_Filling_Gap"
"Native 18",13,0,"6529",0.5,-0.5,0.5,"Ambiguous","Native","Non_Filling_Gap"
"Native 18",11,1,"3701",-0.5,-0.5,0.5,"Unambiguous","Native","Non_Filling_Gap"
"Native 18",8,1,"4992",-0.5,-0.5,0.5,"Unambiguous","Native","Non_Filling_Gap"
"Native 18",16,1,"2362",0.5,-0.5,0.5,"Ambiguous","Native","Non_Filling_Gap"
"Native 18",4,1,"1992",0.5,-0.5,0.5,"Ambiguous","Native","Non_Filling_Gap"
"Native 18",1,1,"2319",0.5,-0.5,0.5,"Ambiguous","Native","Non_Filling_Gap"
"Native 18",7,1,"1463",0.5,-0.5,0.5,"Ambiguous","Native","Non_Filling_Gap"
"Native 18",5,1,"3104",-0.5,-0.5,0.5,"Unambiguous","Native","Non_Filling_Gap"
"Native 18",17,1,"1643",-0.5,-0.5,0.5,"Unambiguous","Native","Non_Filling_Gap"
"Native 18",10,1,"1283",0.5,-0.5,0.5,"Ambiguous","Native","Non_Filling_Gap"
"Native 18",14,1,"1464",-0.5,-0.5,0.5,"Unambiguous","Native","Non_Filling_Gap"
"Native 18",2,1,"2302",-0.5,-0.5,0.5,"Unambiguous","Native","Non_Filling_Gap"
"Native 19",1,0,"5192",-0.5,-0.5,0.5,"Unambiguous","Native","Non_Filling_Gap"
"Native 19",4,1,"1589",-0.5,-0.5,0.5,"Unambiguous","Native","Non_Filling_Gap"
"Native 19",3,1,"3911",0.5,-0.5,0.5,"Ambiguous","Native","Non_Filling_Gap"
"Native 19",10,0,"3627",-0.5,-0.5,0.5,"Unambiguous","Native","Non_Filling_Gap"
"Native 19",15,0,"6963",0.5,-0.5,0.5,"Ambiguous","Native","Non_Filling_Gap"
"Native 19",7,1,"1460",-0.5,-0.5,0.5,"Unambiguous","Native","Non_Filling_Gap"
"Native 19",9,0,"1847",0.5,-0.5,0.5,"Ambiguous","Native","Non_Filling_Gap"
"Native 19",13,1,"1965",-0.5,-0.5,0.5,"Unambiguous","Native","Non_Filling_Gap"
"Native 19",16,1,"2894",-0.5,-0.5,0.5,"Unambiguous","Native","Non_Filling_Gap"
"Native 19",6,0,"2994",0.5,-0.5,0.5,"Ambiguous","Native","Non_Filling_Gap"
"Native 19",18,0,"4411",0.5,-0.5,0.5,"Ambiguous","Native","Non_Filling_Gap"
"Native 19",12,1,"1268",0.5,-0.5,0.5,"Ambiguous","Native","Non_Filling_Gap"
"Native 20",18,1,"2160",-0.5,-0.5,0.5,"Unambiguous","Native","Non_Filling_Gap"
"Native 20",17,1,"2218",0.5,-0.5,0.5,"Ambiguous","Native","Non_Filling_Gap"
"Native 20",11,0,"782",0.5,-0.5,0.5,"Ambiguous","Native","Non_Filling_Gap"
"Native 20",6,1,"929",-0.5,-0.5,0.5,"Unambiguous","Native","Non_Filling_Gap"
"Native 20",9,0,"4993",-0.5,-0.5,0.5,"Unambiguous","Native","Non_Filling_Gap"
"Native 20",15,0,"1082",-0.5,-0.5,0.5,"Unambiguous","Native","Non_Filling_Gap"
"Native 20",14,0,"2228",0.5,-0.5,0.5,"Ambiguous","Native","Non_Filling_Gap"
"Native 20",12,0,"2128",-0.5,-0.5,0.5,"Unambiguous","Native","Non_Filling_Gap"
"Native 20",5,0,"1593",0.5,-0.5,0.5,"Ambiguous","Native","Non_Filling_Gap"
"Native 20",8,0,"2898",0.5,-0.5,0.5,"Ambiguous","Native","Non_Filling_Gap"
"Native 20",2,1,"1454",0.5,-0.5,0.5,"Ambiguous","Native","Non_Filling_Gap"
"Native 20",3,0,"602",-0.5,-0.5,0.5,"Unambiguous","Native","Non_Filling_Gap"
"Native 21",2,1,"2185",-0.5,-0.5,0.5,"Unambiguous","Native","Non_Filling_Gap"
"Native 21",17,1,"3101",-0.5,-0.5,0.5,"Unambiguous","Native","Non_Filling_Gap"
"Native 21",13,1,"1425",0.5,-0.5,0.5,"Ambiguous","Native","Non_Filling_Gap"
"Native 21",4,1,"1440",0.5,-0.5,0.5,"Ambiguous","Native","Non_Filling_Gap"
"Native 21",11,0,"2779",-0.5,-0.5,0.5,"Unambiguous","Native","Non_Filling_Gap"
"Native 21",5,1,"2100",-0.5,-0.5,0.5,"Unambiguous","Native","Non_Filling_Gap"
"Native 21",1,0,"1449",0.5,-0.5,0.5,"Ambiguous","Native","Non_Filling_Gap"
"Native 21",10,0,"3499",0.5,-0.5,0.5,"Ambiguous","Native","Non_Filling_Gap"
"Native 21",7,0,"905",0.5,-0.5,0.5,"Ambiguous","Native","Non_Filling_Gap"
"Native 21",16,1,"1914",0.5,-0.5,0.5,"Ambiguous","Native","Non_Filling_Gap"
"Native 21",8,1,"2210",-0.5,-0.5,0.5,"Unambiguous","Native","Non_Filling_Gap"
"Native 21",14,1,"2201",-0.5,-0.5,0.5,"Unambiguous","Native","Non_Filling_Gap"
