"subject","item","region","measure","condition","rawdata","group_G"
"Native 16",28,2,"fp",2,256,"Native"
"Native 16",48,2,"fp",2,0,"Native"
"Native 16",44,2,"fp",2,299,"Native"
"Native 16",33,2,"fp",3,390,"Native"
"Native 16",40,2,"fp",2,245,"Native"
"Native 16",47,2,"fp",1,178,"Native"
"Native 16",36,2,"fp",2,0,"Native"
"Native 16",29,2,"fp",3,181,"Native"
"Native 16",45,2,"fp",3,159,"Native"
"Native 16",27,2,"fp",1,0,"Native"
"Native 16",35,2,"fp",1,0,"Native"
"Native 16",32,2,"fp",2,0,"Native"
"Native 16",31,2,"fp",1,256,"Native"
"Native 16",46,2,"fp",4,196,"Native"
"Native 16",25,2,"fp",3,258,"Native"
"Native 16",26,2,"fp",4,184,"Native"
"Native 16",37,2,"fp",3,228,"Native"
"Native 16",34,2,"fp",4,220,"Native"
"Native 16",30,2,"fp",4,229,"Native"
"Native 16",38,2,"fp",4,154,"Native"
"Native 16",41,2,"fp",3,256,"Native"
"Native 17",32,2,"fp",3,197,"Native"
"Native 17",46,2,"fp",1,197,"Native"
"Native 17",40,2,"fp",3,250,"Native"
"Native 17",26,2,"fp",1,123,"Native"
"Native 17",37,2,"fp",4,196,"Native"
"Native 17",25,2,"fp",4,791,"Native"
"Native 17",43,2,"fp",2,184,"Native"
"Native 17",30,2,"fp",1,389,"Native"
"Native 17",34,2,"fp",1,636,"Native"
"Native 17",27,2,"fp",2,218,"Native"
"Native 17",45,2,"fp",4,219,"Native"
"Native 17",44,2,"fp",3,227,"Native"
"Native 17",35,2,"fp",2,485,"Native"
"Native 17",33,2,"fp",4,699,"Native"
"Native 17",47,2,"fp",2,0,"Native"
"Native 17",48,2,"fp",3,152,"Native"
"Native 17",36,2,"fp",3,269,"Native"
"Native 17",29,2,"fp",4,202,"Native"
"Native 17",38,2,"fp",1,450,"Native"
"Native 17",31,2,"fp",2,248,"Native"
"Native 17",41,2,"fp",4,362,"Native"
"Native 17",28,2,"fp",3,228,"Native"
"Native 17",42,2,"fp",1,256,"Native"
"Native 17",39,2,"fp",2,554,"Native"
"Native 18",43,2,"fp",3,322,"Native"
"Native 18",33,2,"fp",1,568,"Native"
"Native 18",42,2,"fp",2,280,"Native"
"Native 18",47,2,"fp",3,343,"Native"
"Native 18",27,2,"fp",3,138,"Native"
"Native 18",39,2,"fp",3,269,"Native"
"Native 18",35,2,"fp",3,498,"Native"
"Native 18",48,2,"fp",4,647,"Native"
"Native 18",36,2,"fp",4,314,"Native"
"Native 18",41,2,"fp",1,458,"Native"
"Native 18",26,2,"fp",2,172,"Native"
"Native 18",44,2,"fp",4,182,"Native"
"Native 18",32,2,"fp",4,233,"Native"
"Native 18",40,2,"fp",4,285,"Native"
"Native 18",34,2,"fp",2,453,"Native"
"Native 18",46,2,"fp",2,514,"Native"
"Native 18",45,2,"fp",1,1219,"Native"
"Native 18",37,2,"fp",1,474,"Native"
"Native 18",25,2,"fp",1,136,"Native"
"Native 18",31,2,"fp",3,169,"Native"
"Native 18",29,2,"fp",1,225,"Native"
"Native 18",30,2,"fp",2,239,"Native"
"Native 18",38,2,"fp",2,163,"Native"
"Native 18",28,2,"fp",4,424,"Native"
"Native 19",30,2,"fp",3,377,"Native"
"Native 19",29,2,"fp",2,318,"Native"
"Native 19",37,2,"fp",2,179,"Native"
"Native 19",25,2,"fp",2,218,"Native"
"Native 19",34,2,"fp",3,927,"Native"
"Native 19",43,2,"fp",4,328,"Native"
"Native 19",36,2,"fp",1,384,"Native"
"Native 19",28,2,"fp",1,203,"Native"
"Native 19",27,2,"fp",4,191,"Native"
"Native 19",42,2,"fp",3,195,"Native"
"Native 19",44,2,"fp",1,0,"Native"
"Native 19",47,2,"fp",4,336,"Native"
"Native 19",31,2,"fp",4,307,"Native"
"Native 19",45,2,"fp",2,450,"Native"
